Last, First, Sex, Age, Race
LOGAN,FERNANDO,M,20,CAUCASIAN
CARMACK,CARLOS,M,20,HISPANIC
TONEY,COREY,M,20,BLACK
THORNBURG,DONALD,M,20,CAUCASIAN
BLANCHARD,TIM,M,20,ASIAN
EDWARDS,BRADLEY,M,20,HISPANIC
TAYLOR,WERNER,M,21,BLACK
WALDEN,JEREMY,M,21,BLACK
SHEFFIELD,JAMES,M,21,BLACK
WINTER,RICHARD,M,21,CAUCASIAN
RIGGS,ALISA,F,21,ASIAN
GARCIA,WILLIAM,M,21,ASIAN
CUNNINGHAM,PAUL,M,22,ASIAN
EVANS,MELANIE,F,23,BLACK
RICHARDSON,RORY,M,23,BLACK
MADDEN,MARTHA,F,24,BLACK
HIGHAM,HAROLD,M,24,BLACK
ALVARADO,PATRICIA,F,24,CAUCASIAN
PEOPLES,CHRISTINA,F,25,CAUCASIAN
LOVING,ALTHEA,F,25,BLACK
SHAY,DOUGLAS,M,26,ASIAN
ROYER,GRACE,F,26,ASIAN
SCHMIDT,ALBERT,M,26,HISPANIC
STEPHENS,RANDALL,M,26,ASIAN
TOZIER,ALEXANDER,M,28,HISPANIC
ENNIS,EDWARD,M,28,BLACK
GIVENS,JASON,M,28,BLACK
VALENTINE,KAREN,F,28,HISPANIC
MATHIS,KIMBERLY,F,28,ASIAN
LIVERMAN,ANTONIO,M,28,CAUCASIAN
VENTERS,PATRICIA,F,28,BLACK
DENNIS,CINDY,F,29,BLACK
RENKEN,RUBEN,M,29,CAUCASIAN
GONZALEZ,VIRGINIA,F,29,BLACK
DAVIS,ALFRED,M,30,BLACK
HERR,MARIA,F,31,HISPANIC
ALTMAN,AMY,F,31,CAUCASIAN
GLENN,JIMMY,M,31,HISPANIC
RODRIGUEZ,DONALD,M,32,HISPANIC
WASHINGTON,IRIS,F,32,ASIAN
JONES,ERICA,F,32,HISPANIC
PURDY,JUSTIN,M,33,BLACK
REMALEY,BRITTANY,F,33,HISPANIC
HUBER,ERICA,F,33,ASIAN
MORLEY,PATRICIA,F,34,BLACK
LAZO,MITCHELL,M,34,HISPANIC
SNYDER,GEORGE,M,34,ASIAN
MAUST,MICHAEL,M,35,CAUCASIAN
WILCOX,LESLIE,F,36,BLACK
FORTUNE,LEON,M,36,HISPANIC
GORMAN,JENNIFER,F,36,HISPANIC
TRUONG,DEBRA,F,36,HISPANIC
ACEVEDO,JOSEPH,M,37,ASIAN
SCHRIVER,JONATHAN,M,38,HISPANIC
WYATT,CONSUELO,F,38,ASIAN
HALL,MARIE,F,38,ASIAN
MOORE,JEFFERY,M,39,ASIAN
THOMAS,MARY,F,39,CAUCASIAN
SPARKS,JUAN,M,39,BLACK
BARRETT,JOHN,M,40,BLACK
WELLS,BARBARA,F,40,CAUCASIAN
SULLIVAN,GEORGE,M,40,BLACK
CUTRER,PATRICK,M,41,HISPANIC
DUNN,ELIZABETH,F,41,HISPANIC
NEWCOMB,JACQUELINE,F,41,ASIAN
LUPO,JOCELYN,F,42,HISPANIC
PORTER,SARAH,F,42,HISPANIC
PARKER,MATTHEW,M,42,CAUCASIAN
AUSTIN,DONALD,M,42,ASIAN
FORBES,JEAN,F,43,HISPANIC
GRAY,DALE,M,44,ASIAN
VORIS,JOHN,M,44,ASIAN
REYES,ANDREW,M,44,BLACK
BRITT,MICHAEL,M,44,HISPANIC
CHAPMAN,CLAY,M,44,CAUCASIAN
DAILEY,HELEN,F,45,CAUCASIAN
HAYNES,MARIA,F,45,BLACK
DAVIS,RUTH,F,45,HISPANIC
SPANN,CATHERINE,F,46,ASIAN
BURNS,DOROTHY,F,47,HISPANIC
TAYLOR,SHEILA,F,47,HISPANIC
RODRIQUEZ,STEVEN,M,48,CAUCASIAN
RENFRO,JAMES,M,48,CAUCASIAN
PURINGTON,STANLEY,M,48,BLACK
POSADA,JUANITA,F,48,ASIAN
BURPO,MELISSA,F,48,ASIAN
HSU,GABRIEL,M,50,ASIAN
WILSON,GRACE,F,50,HISPANIC
LADY,RAYMOND,M,50,CAUCASIAN
DUNLAP,ANDREW,M,50,HISPANIC
MARIANO,MIKE,M,51,CAUCASIAN
JOHNSTON,DANIEL,M,51,CAUCASIAN
BAILEY,JOHN,M,51,BLACK
WOODS,OLIVER,M,53,CAUCASIAN
OZUNA,STELLA,F,54,ASIAN
BIRCHFIELD,RUTH,F,54,BLACK
WILLIAMS,JESSE,M,54,ASIAN
PARKER,GLADYS,F,55,BLACK
SCHMITT,STELLA,F,55,CAUCASIAN
BAGLEY,LINDA,F,57,HISPANIC
GARCIA,DEAN,M,57,HISPANIC
FLOWERS,CINDY,F,57,CAUCASIAN
LARSON,JOHN,M,57,HISPANIC
CROSS,NANCY,F,58,CAUCASIAN
HERRINGTON,TERRY,M,58,CAUCASIAN
RICHARDS,TOMMY,M,58,ASIAN
HAVENS,ORA,F,58,ASIAN
TAYLOR,ARTHUR,M,58,HISPANIC
TREVINO,CLIFFORD,M,59,BLACK
ALVARADO,BRIANNA,F,59,BLACK
VERDIN,KIM,F,60,CAUCASIAN
HOLCOMB,ELLIOT,M,63,HISPANIC
CARVER,BENNIE,M,63,CAUCASIAN
STEWART,ELAINE,F,63,BLACK
BURTON,EMILY,F,64,BLACK
HESSION,KIMBERLY,F,64,ASIAN
DORITY,LESTER,M,64,BLACK
WALTON,TINA,F,64,HISPANIC
SITZ,JAMES,M,65,BLACK
MURILLO,BELINDA,F,66,ASIAN
LOPEZ,JAY,M,67,HISPANIC
SLOAT,MURIEL,F,67,CAUCASIAN
STRUBLE,LINDA,F,69,BLACK
RAMSEY,DEBORAH,F,69,ASIAN
OVERTON,STEVEN,M,70,ASIAN
LEE,DON,M,70,ASIAN
STARK,NORMA,F,73,ASIAN
MITCHELL,JOHN,M,73,HISPANIC
RENDON,BARBARA,F,73,CAUCASIAN
JONES,MICHAEL,M,74,HISPANIC
FASSETT,CONNIE,F,74,CAUCASIAN
EPSTEIN,RITA,F,74,CAUCASIAN
CROSBY,KATHERINE,F,74,HISPANIC
BREWER,JESSE,M,75,BLACK
WRIGHT,REBECCA,F,75,ASIAN
OSBORN,LILLIAN,F,76,ASIAN
SLAUGHTER,GWENDOLYN,F,76,ASIAN
GAY,CAROLYN,F,77,HISPANIC
JACKSON,JOSEPH,M,78,ASIAN
DION,KATHLEEN,F,79,HISPANIC
LEDESMA,MATTIE,F,80,CAUCASIAN
PALMORE,RHEA,F,91,CAUCASIAN
ESPARZA,MANUEL,M,94,CAUCASIAN
FIGUEROA,CARLA,F,96,BLACK
THOMPSON,BENJAMIN,M,99,HISPANIC
